MEDIA_ID,MEDIA_NAME,CNT,TIME(2017/11/02 11:40:03.029),TIMETICK(f=3507505),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,AOI,
8,White Screen 1,31,0.50928,96405014202,0.37171,0.11107,0.00000,0.50928,1,1,0.37549,0.13126,0,0.87448,0.22407,0,,0.25251,0.50621,8.26837,0.97960,0,0.61858,0.53033,15.33720,0.97960,0,0,0.00000,17,,
8,White Screen 1,71,1.16650,96407319174,0.44368,0.44206,0.77222,0.39429,2,1,0.61697,0.71181,1,0.87448,0.04815,0,,0.25846,0.51292,18.58798,1.01531,1,0.62154,0.53859,16.98242,1.02354,1,0,0.00000,18,,
8,White Screen 1,100,1.64282,96408990453,0.77268,0.92861,1.23218,0.41064,3,1,0.77191,0.93483,0,0.87448,0.04815,0,,0.26339,0.50625,12.14967,1.03177,0,0.62906,0.53753,15.64664,1.03999,0,0,0.00000,18,,
8,White Screen 1,154,2.53003,96412102025,0.30235,1.70044,2.39868,0.13135,4,1,0.27252,1.71157,0,0.87448,0.04815,0,,0.15182,0.54921,11.56580,1.03999,0,0.51743,0.55747,10.60397,1.03999,0,0,0.00000,19,,
5,Horizontal,23,0.37817,96414119569,0.38217,0.33951,0.11499,0.26318,2,1,0.33386,0.13557,1,0.87448,0.04815,0,,0.16645,0.48476,19.97074,1.02354,1,0.53207,0.49481,16.82680,1.03177,1,0,0.00000,20,AOI 7,
5,Horizontal,58,0.95313,96416135736,0.31188,0.11620,0.44385,0.50928,3,1,0.41609,0.06399,1,0.87448,0.04815,0,,0.17601,0.45409,18.87585,0.96907,1,0.54196,0.46313,15.60935,0.97730,1,0,0.00000,20,,
5,Horizontal,97,1.59351,96418382655,0.42473,0.03530,1.01855,0.57495,4,1,0.43035,0.07538,1,0.87448,0.04815,0,,0.19324,0.43390,19.38404,0.94669,1,0.56234,0.44368,16.80479,0.94669,1,0,0.00000,20,,
5,Horizontal,116,1.90576,96419477486,0.42070,0.05026,1.61035,0.29541,5,1,0.36984,0.09625,1,0.87448,0.04815,0,,0.17754,0.44101,19.33667,0.97022,1,0.54793,0.44813,16.64977,0.96199,1,0,0.00000,20,,
5,Horizontal,143,2.34937,96421033478,0.38457,0.07725,1.92236,0.42700,6,1,0.46628,0.04748,1,0.87448,0.04815,0,,0.17834,0.44340,19.73085,0.97499,1,0.54922,0.45263,17.20972,0.97499,1,0,0.00000,20,,
5,Horizontal,164,2.69458,96422244138,0.48325,0.06438,2.36597,0.32861,7,1,0.44987,0.21971,0,0.87448,0.04815,0,,0.18226,0.44399,19.29163,0.97803,0,0.55171,0.45343,7.79196,0.97803,0,450,0.00000,20,,
