subj,cond,stim,nni,ann
User 3ab,p1,p1,0.445449,-4.374182
User 1ab,p2,p2,0.503469,-6.849814
User 14ba,p2,p2,0.694333,-2.108391
User 17ab,p2,p2,0.430159,-5.558678
User 12ba,p2,p2,0.359864,-6.707551
User 13ab,p1,p1,0.487330,-3.252858
User 5ba,p1,p1,0.388005,-7.853896
User 2ab,p2,p2,0.562712,-5.735188
User 9ab,p1,p1,0.262919,-3.153050
User 6ba,p1,p1,0.609138,-3.344020
User 18ba,p2,p2,0.475345,-6.268115
User 10ba,p2,p2,0.542572,-5.027016
User 6ba,p2,p2,0.471398,-4.634145
User 11ab,p1,p1,0.371625,-3.180527
User 16ba,p1,p1,0.337240,-5.670254
User 20ba,p2,p2,0.473740,-5.605467
User 19ab,p2,p2,0.408500,-6.789490
User 17ab,p1,p1,0.275663,-6.197070
User 13ab,p2,p2,0.707639,-1.677924
User 4ba,p1,p1,0.373853,-3.593589
User 14ba,p1,p1,0.410084,-4.919239
User 7ab,p2,p2,0.421869,-8.916903
User 9ab,p2,p2,0.536064,-4.162942
User 1ab,p1,p1,0.372984,-5.876455
User 4ba,p2,p2,0.373977,-3.972074
User 2ab,p1,p1,0.479044,-5.458743
User 7ab,p1,p1,0.316082,-8.678832
User 12ba,p1,p1,0.402046,-3.617421
User 18ba,p1,p1,0.358193,-4.594092
User 15ab,p2,p2,0.489623,-4.366532
User 8ba,p2,p2,0.622519,-3.229545
User 19ab,p1,p1,0.462740,-5.722643
User 8ba,p1,p1,0.434904,-3.897850
User 15ab,p1,p1,0.380822,-3.745817
User 11ab,p2,p2,0.413913,-6.440953
User 20ba,p1,p1,0.445226,-6.188510
User 16ba,p2,p2,0.293832,-5.403797
User 5ba,p2,p2,0.437577,-6.632631
User 3ab,p2,p2,0.397214,-4.466219
User 10ba,p1,p1,0.478787,-4.782009
