subj,cond,AOI,duration,order
User 18ba,p2,ah,0.197330,1
User 18ba,p2,ah,0.345280,2
User 18ba,p2,ai,0.492920,3
User 18ba,p2,ai,0.952640,4
User 18ba,p2,ah,0.065740,5
User 18ba,p2,ai,0.279110,6
User 18ba,p2,ai,0.164250,7
User 18ba,p2,ai,0.148010,8
User 18ba,p2,bi,0.279050,9
User 18ba,p2,ai,0.162170,10
User 18ba,p2,ah,1.084230,11
User 18ba,p2,bh,0.739380,12
User 18ba,p2,ag,1.954770,13
User 18ba,p2,ag,0.460080,14
User 18ba,p2,bg,0.641000,15
User 18ba,p2,ag,0.246400,16
User 18ba,p2,ag,0.312190,17
User 18ba,p2,ag,0.985540,18
User 18ba,p2,ag,0.163940,19
User 18ba,p2,af,0.034970,20
User 18ba,p2,ae,1.708680,21
User 18ba,p2,bd,0.180670,22
User 18ba,p2,ae,0.788460,23
User 18ba,p2,ae,0.230100,24
User 18ba,p2,ae,1.018490,25
User 18ba,p2,be,0.509100,26
User 18ba,p2,ad,0.575010,27
User 18ba,p2,ad,0.476260,28
User 18ba,p2,ad,0.230230,29
User 18ba,p2,ad,0.558600,30
User 18ba,p2,ad,1.035040,31
User 18ba,p2,ac,0.344970,32
User 18ba,p2,ac,0.229860,33
User 18ba,p2,ac,1.478580,34
User 18ba,p2,ac,0.542230,35
User 18ba,p2,ac,0.985840,36
User 18ba,p2,ac,0.722660,37
User 18ba,p2,ab,0.328610,38
User 18ba,p2,ab,0.887270,39
User 18ba,p2,ac,0.525760,40
User 18ba,p2,ab,1.035220,41
User 18ba,p2,ab,0.180600,42
User 18ba,p2,ab,0.903380,43
User 18ba,p2,bc,0.509340,44
User 18ba,p2,ab,0.558600,45
User 18ba,p2,ab,0.575130,46
User 18ba,p2,ac,0.361390,47
User 18ba,p2,ac,0.328370,48
User 18ba,p2,ad,0.591310,49
User 18ba,p2,ad,0.542290,50
User 18ba,p2,ad,0.197080,51
User 18ba,p2,ad,0.066040,52
User 18ba,p2,ae,0.591250,53
User 18ba,p2,ah,0.295660,54
User 18ba,p2,bh,0.656920,55
User 18ba,p2,ai,0.147760,56
User 18ba,p2,bh,0.657100,57
User 18ba,p2,ah,0.558480,58
User 18ba,p2,bh,0.492860,59
User 18ba,p2,bd,0.230040,60
User 17ab,p2,ag,0.049300,61
User 17ab,p2,ah,0.049090,62
User 17ab,p2,ag,0.065740,63
User 17ab,p2,ah,0.246550,64
User 17ab,p2,ah,0.262860,65
User 17ab,p2,ai,1.002250,66
User 17ab,p2,ai,0.657140,67
User 17ab,p2,ai,0.131470,68
User 17ab,p2,ah,0.427050,69
User 17ab,p2,ah,2.677340,70
User 17ab,p2,ah,0.591510,71
User 17ab,p2,bh,0.969360,72
User 17ab,p2,bh,0.443190,73
User 17ab,p2,bh,1.659070,74
User 17ab,p2,ah,0.049430,75
