subj,cond,AOI,duration,order
User 13ab,p1,ag,0.246270,1
User 13ab,p1,ah,0.181030,2
User 13ab,p1,ai,0.180600,3
User 13ab,p1,ai,0.016360,4
User 13ab,p1,ai,0.985230,5
User 13ab,p1,ah,0.065610,6
User 13ab,p1,ai,0.854430,7
User 13ab,p1,ah,0.722900,8
User 13ab,p1,ag,0.510740,9
User 13ab,p1,ag,0.180720,10
User 13ab,p1,ag,0.065850,11
User 13ab,p1,ag,0.706180,12
User 13ab,p1,af,0.377930,13
User 13ab,p1,af,0.197390,14
User 13ab,p1,af,0.821410,15
User 13ab,p1,af,0.361330,16
User 13ab,p1,ag,0.147770,17
User 13ab,p1,ag,1.412720,18
User 13ab,p1,ag,0.131590,19
User 13ab,p1,af,0.838010,20
User 13ab,p1,ag,0.180790,21
User 13ab,p1,af,0.624270,22
User 13ab,p1,ag,0.131040,23
User 13ab,p1,af,1.445070,24
User 13ab,p1,af,1.133490,25
User 13ab,p1,af,0.410700,26
User 13ab,p1,ag,0.788450,27
User 13ab,p1,af,0.525630,28
User 13ab,p1,af,0.375000,29
User 13ab,p1,ae,0.164550,30
User 13ab,p1,ae,1.018490,31
User 13ab,p1,ae,0.032840,32
User 13ab,p1,ad,0.542230,33
User 13ab,p1,ad,0.164550,34
User 13ab,p1,ad,0.065560,35
User 13ab,p1,ad,0.246460,36
User 13ab,p1,ad,0.082210,37
User 13ab,p1,ad,0.557000,38
User 13ab,p1,ad,0.722780,39
User 13ab,p1,ad,0.295770,40
User 13ab,p1,ac,0.229920,41
User 13ab,p1,ac,0.098570,42
User 13ab,p1,ac,0.230040,43
User 13ab,p1,ab,0.312070,44
User 13ab,p1,ab,0.115060,45
User 13ab,p1,af,1.101020,46
User 13ab,p1,af,1.642700,47
User 13ab,p1,af,0.098690,48
User 13ab,p1,af,2.792900,49
User 13ab,p1,af,0.361450,50
User 13ab,p1,af,0.262570,51
