subj,cond,AOI,duration,order
User 14ba,p1,af,0.016510,1
User 14ba,p1,ag,0.263080,2
User 14ba,p1,ai,3.647260,3
User 14ba,p1,ai,2.661180,4
User 14ba,p1,ag,0.131390,5
User 14ba,p1,ai,1.363590,6
User 14ba,p1,ah,0.640590,7
User 14ba,p1,af,0.032900,8
User 14ba,p1,ah,6.505580,9
User 14ba,p1,af,2.907850,10
User 14ba,p1,ag,2.382150,11
User 14ba,p1,ae,2.004210,12
User 14ba,p1,ac,1.199690,13
User 14ba,p1,ah,0.689880,14
User 14ba,p1,ai,0.870500,15
User 14ba,p1,ah,2.660980,16
User 14ba,p1,ah,0.870620,17
User 14ba,p1,af,1.248840,18
User 14ba,p1,ae,0.246260,19
