subj,cond,AOI,duration,order
User 20ba,p2,ah,0.788820,1
User 20ba,p2,ai,0.542120,2
User 20ba,p2,ai,0.443610,3
User 20ba,p2,ai,5.142210,4
User 20ba,p2,ai,2.168580,5
User 20ba,p2,ah,2.234370,6
User 20ba,p2,bh,0.854000,7
User 20ba,p2,ag,1.593620,8
User 20ba,p2,bg,0.344850,9
User 20ba,p2,af,6.357910,10
User 20ba,p2,ae,6.341550,11
User 20ba,p2,ad,1.593630,12
User 20ba,p2,bd,0.197260,13
User 20ba,p2,ad,3.302120,14
User 20ba,p2,ad,3.006220,15
User 20ba,p2,ac,0.788700,16
User 20ba,p2,ac,1.823490,17
User 20ba,p2,ab,0.345090,18
User 20ba,p2,ab,0.854010,19
User 20ba,p2,ab,0.033080,20
User 20ba,p2,ab,0.887090,21
User 20ba,p2,ab,1.429070,22
User 20ba,p2,ab,0.049320,23
User 20ba,p2,ab,0.575200,24
User 20ba,p2,ag,2.431390,25
User 20ba,p2,ah,0.673710,26
User 20ba,p2,bh,0.197020,27
User 20ba,p2,ah,0.279170,28
User 20ba,p2,bh,0.230100,29
User 20ba,p2,ah,0.229990,30
User 20ba,p2,bg,0.098390,31
