subj,cond,AOI,duration,order
User 2ab,p2,ag,0.788880,1
User 2ab,p2,ai,0.164250,2
User 2ab,p2,bh,0.180600,3
User 2ab,p2,bg,0.147890,4
User 2ab,p2,bh,0.049250,5
User 2ab,p2,ai,0.147710,6
User 2ab,p2,ag,0.082100,7
User 2ab,p2,ah,0.427070,8
User 2ab,p2,ah,0.099980,9
User 2ab,p2,ai,0.180720,10
User 2ab,p2,ag,0.279170,11
User 2ab,p2,ai,0.148010,12
User 2ab,p2,ah,0.312070,13
User 2ab,p2,af,0.443540,14
User 2ab,p2,ah,0.049260,15
User 2ab,p2,bh,0.114990,16
User 2ab,p2,bi,0.049260,17
User 2ab,p2,bf,0.148070,18
User 2ab,p2,bg,0.049070,19
User 2ab,p2,bi,0.114930,20
User 2ab,p2,bh,0.690060,21
User 2ab,p2,ag,0.213500,22
User 2ab,p2,ai,0.098630,23
User 2ab,p2,ag,0.180850,24
User 2ab,p2,ah,0.049260,25
User 2ab,p2,ag,0.246400,26
User 2ab,p2,ah,0.049260,27
User 2ab,p2,bh,0.903740,28
User 2ab,p2,bi,0.262880,29
User 2ab,p2,bg,0.032660,30
User 2ab,p2,bh,0.163510,31
User 2ab,p2,ae,1.182800,32
User 2ab,p2,be,0.377870,33
User 2ab,p2,ae,0.657410,34
User 2ab,p2,ac,0.181570,35
User 2ab,p2,bf,0.509160,36
User 2ab,p2,bg,0.049380,37
User 2ab,p2,be,0.919980,38
User 2ab,p2,ad,0.574890,39
User 2ab,p2,ae,0.985720,40
User 2ab,p2,ad,0.542420,41
User 2ab,p2,ai,0.098330,42
User 2ab,p2,ah,0.838200,43
User 2ab,p2,ai,0.114990,44
User 2ab,p2,af,0.624330,45
User 2ab,p2,ah,0.033090,46
User 2ab,p2,ag,0.443480,47
User 2ab,p2,ah,0.509340,48
User 2ab,p2,ai,0.016360,49
User 2ab,p2,ai,0.640930,50
User 2ab,p2,ah,0.180840,51
User 2ab,p2,ah,1.856570,52
User 2ab,p2,ag,0.295960,53
User 2ab,p2,bi,0.115050,54
User 2ab,p2,ag,0.147830,55
User 2ab,p2,af,0.197020,56
User 2ab,p2,ah,0.427000,57
User 2ab,p2,ai,0.049440,58
User 2ab,p2,af,0.131530,59
User 2ab,p2,aj,0.032900,60
User 2ab,p2,ad,0.361390,61
User 2ab,p2,ac,0.920040,62
User 2ab,p2,ad,0.772160,63
User 2ab,p2,bc,0.344970,64
User 2ab,p2,ab,0.115170,65
User 2ab,p2,ab,1.018550,66
User 2ab,p2,ab,0.115360,67
User 2ab,p2,af,0.377870,68
User 2ab,p2,be,0.509270,69
User 2ab,p2,bd,1.330690,70
User 2ab,p2,ac,0.345030,71
User 2ab,p2,bg,0.034370,72
User 2ab,p2,bf,0.624140,73
User 2ab,p2,bg,0.197380,74
User 2ab,p2,ai,0.032900,75
User 2ab,p2,af,0.654970,76
