subj,cond,AOI,duration,order
User 4ba,p2,af,0.231080,1
User 4ba,p2,af,0.147950,2
User 4ba,p2,ah,0.476440,3
User 4ba,p2,ai,1.051390,4
User 4ba,p2,ah,1.412840,5
User 4ba,p2,bh,0.640620,6
User 4ba,p2,ah,0.673580,7
User 4ba,p2,af,2.480590,8
User 4ba,p2,bg,1.889280,9
User 4ba,p2,ag,1.264890,10
User 4ba,p2,af,0.114860,11
User 4ba,p2,ag,0.016360,12
User 4ba,p2,af,0.078370,13
User 4ba,p2,bf,1.675780,14
User 4ba,p2,ae,0.018550,15
User 4ba,p2,ae,0.772090,16
User 4ba,p2,ad,1.593380,17
User 4ba,p2,ae,0.344850,18
User 4ba,p2,ac,0.805300,19
User 4ba,p2,ae,0.410520,20
User 4ba,p2,af,0.525880,21
User 4ba,p2,ah,0.016480,22
User 4ba,p2,ag,0.032960,23
User 4ba,p2,bf,1.626340,24
User 4ba,p2,ag,0.032960,25
User 4ba,p2,af,0.230220,26
User 4ba,p2,bf,0.837770,27
