subj,cond,AOI,duration,order
User 5ba,p1,af,0.246580,1
User 5ba,p1,ai,0.098640,2
User 5ba,p1,ai,0.624270,3
User 5ba,p1,ai,0.344970,4
User 5ba,p1,ai,0.722650,5
User 5ba,p1,ai,1.084470,6
User 5ba,p1,ah,1.856690,7
User 5ba,p1,ah,2.234130,8
User 5ba,p1,ah,1.693360,9
User 5ba,p1,ah,0.229500,10
User 5ba,p1,ag,1.018560,11
User 5ba,p1,ag,1.691890,12
User 5ba,p1,ag,1.724850,13
User 5ba,p1,af,2.611820,14
User 5ba,p1,af,1.133550,15
User 5ba,p1,ag,0.131110,16
User 5ba,p1,af,1.100830,17
User 5ba,p1,bf,0.032710,18
User 5ba,p1,af,0.345210,19
User 5ba,p1,af,1.659180,20
User 5ba,p1,af,1.560790,21
User 5ba,p1,ae,1.856440,22
User 5ba,p1,af,4.041260,23
User 5ba,p1,ae,2.398680,24
User 5ba,p1,af,0.016600,25
User 5ba,p1,ae,4.074220,26
User 5ba,p1,ae,1.215580,27
User 5ba,p1,ae,0.361570,28
User 5ba,p1,ae,1.642830,29
User 5ba,p1,be,0.821290,30
User 5ba,p1,bf,0.032720,31
User 5ba,p1,ad,0.230230,32
User 5ba,p1,ad,0.706550,33
User 5ba,p1,ad,0.016350,34
User 5ba,p1,ad,0.213620,35
User 5ba,p1,ad,1.429440,36
User 5ba,p1,ad,1.806880,37
User 5ba,p1,ad,0.542240,38
User 5ba,p1,ad,0.148190,39
User 5ba,p1,ac,0.114750,40
User 5ba,p1,ad,0.411370,41
User 5ba,p1,af,0.558350,42
User 5ba,p1,af,1.446780,43
User 5ba,p1,af,0.082270,44
User 5ba,p1,af,0.016600,45
User 5ba,p1,af,0.066890,46
User 5ba,p1,af,0.558350,47
User 5ba,p1,af,0.541990,48
User 5ba,p1,ad,1.018800,49
User 5ba,p1,af,0.377690,50
User 5ba,p1,ad,0.919930,51
User 5ba,p1,ae,0.032960,52
User 5ba,p1,ad,0.903570,53
User 5ba,p1,ad,0.312010,54
User 5ba,p1,ad,0.460210,55
User 5ba,p1,ad,0.903560,56
User 5ba,p1,ad,0.476560,57
User 5ba,p1,ad,2.776370,58
User 5ba,p1,ad,3.006100,59
User 5ba,p1,ad,1.231930,60
User 5ba,p1,ac,0.443850,61
User 5ba,p1,ac,0.328610,62
User 5ba,p1,ad,0.558600,63
User 5ba,p1,ac,0.032960,64
User 5ba,p1,ac,0.279060,65
User 5ba,p1,ac,0.739260,66
User 5ba,p1,ac,1.116940,67
User 5ba,p1,ac,0.689940,68
User 5ba,p1,ac,0.739260,69
User 5ba,p1,ac,0.689940,70
User 5ba,p1,ad,0.032960,71
User 5ba,p1,ac,1.133300,72
User 5ba,p1,ad,0.032960,73
User 5ba,p1,ac,5.864990,74
User 5ba,p1,ab,3.433590,75
User 5ba,p1,ab,0.936530,76
User 5ba,p1,ab,1.035160,77
User 5ba,p1,ab,2.070070,78
User 5ba,p1,ae,1.330810,79
User 5ba,p1,ag,0.492920,80
User 5ba,p1,ah,0.262690,81
User 5ba,p1,af,0.394290,82
User 5ba,p1,af,0.394290,83
User 5ba,p1,ae,0.312500,84
User 5ba,p1,af,0.147710,85
User 5ba,p1,ag,0.771970,86
User 5ba,p1,ai,0.213630,87
User 5ba,p1,bh,0.213380,88
User 5ba,p1,ah,0.379390,89
User 5ba,p1,ae,0.919680,90
User 5ba,p1,af,0.443360,91
User 5ba,p1,ae,0.558840,92
User 5ba,p1,ab,0.065680,93
